ADT FN13/2021,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,21/06/2021,07/06/2021,21/06/2020,01/01/2020,06/04/2021,,,,05/07/2020,05/07/2015,,
,,,,,,,,,,,04/07/2021,20/06/2021,04/07/2020,04/07/2021,04/07/2021,,,,04/07/2021,04/07/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , 1 , -   , 2 , 5 , 5 , 47 , 24 , 39.0 , 0.6 , -   , 99 , 150.0 , 0.7 , -   
,Hepatitis B (unspecified),052, 1 , 41 , -   , 32 , 1 , 4 , 58 , 11 , 148 , 202 , 229 ," 2,426 "," 1,205 "," 1,448.0 ", 0.8 , -   ," 4,832 "," 5,883.8 ", 0.8 , -   
,Hepatitis C (newly acquired),040, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 27 , 293 , 104 , 162.0 , 0.6 , -   , 605 , 713.6 , 0.8 , -   
,Hepatitis C (unspecified),053, 4 , 110 , 3 , 111 , -   , 9 , 37 , 27 , 301 , 307 , 281 ," 3,799 "," 1,933 "," 2,387.4 ", 0.8 , -   ," 7,403 "," 9,655.4 ", 0.8 , -   
,Hepatitis D,050, -   , 1 , -   , 1 , -   , -   , -   , 1 , 3 , 2 , 3 , 42 , 19 , 16.2 , 1.2 , -   , 84 , 66.8 , 1.3 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,  , -   , 2 , 1.0 , 2.0 , -   
,Campylobacteriosis,005, 43 , 365 , 7 , 325 , 137 , 34 , 288 , 111 ," 1,310 "," 1,217 ", 982 ," 18,847 "," 8,605 "," 6,239.2 ", 1.4 , 289.7 ," 35,310 "," 29,966.2 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 18 , 9 , 18 , 3 , -   , 7 , 7 , 62 , 72 , 24 ," 1,040 ", 510 , 925.0 , 0.6 , -   ," 1,591 "," 3,860.2 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , 1 , 3.2 , 0.3 , -   , 11 , 15.8 , 0.7 , -   
,Hepatitis A,038, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 1 , -   , 9 , 5 , 48.6 , 0.1 , -   , 16 , 237.8 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 7 , 7 , 10.4 , 0.7 , -   , 11 , 48.2 , 0.2 , -   
,Listeriosis,018, -   , -   , 1 , -   , 1 , -   , -   , -   , 2 , 1 , 1 , 21 , 7 , 12.6 , 0.6 , -   , 48 , 66.4 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12.6 , -   , -   , -   , 84.8 , -   , -   
,STEC,054, -   , 2 , -   , -   , 5 , -   , -   , -   , 7 , 19 , 19 , 311 , 122 , 105.2 , 1.2 , -   , 544 , 489.8 , 1.1 , -   
,Salmonellosis,030, 6 , 94 , 19 , 95 , 13 , 6 , 40 , 21 , 294 , 271 , 293 ," 6,701 "," 2,447 "," 3,506.8 ", 0.7 , -   ," 10,460 "," 15,596.4 ", 0.7 , -   
,Shigellosis,031, -   , 1 , -   , 1 , 2 , -   , 2 , 3 , 9 , 15 , 27 , 242 , 101 , 432.8 , 0.2 , -   , 619 ," 2,113.6 ", 0.3 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 6 , 2 , 26.8 , 0.1 , -   , 18 , 149.4 , 0.1 , -   
Quarantinable diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, -   , 351 , 8 , 43 , 24 , -   , 31 , 7 , 464 , 162 , 820 ," 2,582 "," 1,556 ", 536.6 , 2.9 , -   ," 22,643 "," 1,717.0 ", 13.2 ," 13,247.3 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 1.2 , -   , -   
,MERS-CoV,079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 37 , 809 , 16 , 771 , 222 , 52 , 317 , 370 ," 2,594 "," 3,028 "," 3,478 "," 42,637 "," 19,701 "," 24,376.4 ", 0.8 , -   ," 84,760 "," 100,335.2 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 13 , 327 , 15 , 241 , 57 , 10 , 164 , 99 , 926 ," 1,108 "," 1,150 "," 14,286 "," 6,965 "," 7,084.8 ", 1.0 , -   ," 27,334 "," 28,563.6 ", 1.0 , -   
,Syphilis < 2 years,066, -   , 41 , 9 , 23 , 10 , -   , 55 , 19 , 157 , 214 , 213 ," 2,858 "," 1,439 "," 1,163.4 ", 1.2 , -   ," 5,339 "," 4,622.2 ", 1.2 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 4 , 4 , 1 , -   , -   , 40 , 13 , 62 , 53 , 79 , 912 , 421 , 532.6 , 0.8 , -   ," 1,883 "," 2,191.0 ", 0.9 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 3 , 2.2 , 1.4 , -   , 16 , 7.8 , 2.1 , 0.9 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 3 , 2 , 0.8 , 2.5 , -   , 8 , 8.0 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , 1 , 1 , 12 , 5 , 4.6 , 1.1 , -   , 24 , 18.8 , 1.3 , -   
,Influenza (laboratory confirmed),062, -   , 3 , 1 , 15 , -   , 4 , 2 , 3 , 28 , 33 , 125 , 406 , 221 ," 27,606.0 ", 0.0 , -   , 968 ," 165,224.4 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16.8 , -   , -   , -   , 124.0 , -   , -   
,Mumps,043, -   , -   , -   , 2 , -   , -   , -   , 1 , 3 , 1 , 3 , 14 , 5 , 139.2 , 0.0 , -   , 39 , 608.8 , 0.1 , -   
,Pertussis,024, 2 , 2 , -   , 19 , 1 , -   , 13 , 4 , 41 , 38 , 109 , 344 , 193 ," 2,424.2 ", 0.1 , -   , 710 ," 14,955.2 ", 0.0 , -   
,Pneumococcal disease (invasive),065, 2 , 34 , -   , 18 , 8 , 2 , 21 , 14 , 99 , 89 , 46 , 722 , 474 , 425.4 , 1.1 , -   ," 1,322 "," 1,864.4 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, 1 , 16 , 1 , 11 , 11 , -   , NN , 10 , 53 , 54 , 47 , 630 , 341 , 718.6 , 0.5 , -   ," 1,169 "," 4,664.0 ", 0.3 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 3.6 , -   , -   , 2 , 13.4 , 0.1 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 0.8 , -   , -   , 7 , 3.8 , 1.8 , 1.0 
,Varicella zoster (chickenpox),073, 12 , NN , -   , 1 , 18 , 3 , 14 , 7 , 55 , 80 , 80 ," 1,010 ", 456 , 701.6 , 0.6 , -   ," 2,553 "," 3,596.0 ", 0.7 , -   
,Varicella zoster (shingles),074, 23 , NN , 8 , 7 , 88 , 13 , 46 , 52 , 237 , 295 , 620 ," 5,374 "," 1,967 "," 2,875.4 ", 0.7 , -   ," 13,066 "," 11,504.4 ", 1.1 , -   
,Varicella zoster (unspecified),075, 4 , NN , 7 , 305 , 45 , 18 , 122 , 74 , 575 , 620 , 389 ," 9,074 "," 4,705 "," 3,383.0 ", 1.4 , 297.8 ," 15,943 "," 14,092.4 ", 1.1 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 4 , -   , 6 , -   , -   , -   , 2 , 12 , 12 , 29 , 226 , 95 , 142.6 , 0.7 , -   , 526 , 396.8 , 1.3 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 11.4 , -   , -   , 4 , 81.2 , 0.0 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 324.4 , 0.0 , -   , 5 ," 1,318.4 ", 0.0 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 7.8 , 0.1 , -   , 9 , 32.6 , 0.3 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , 0.2 , 5.0 , -   , 1 , 1.2 , 0.8 , -   
,Malaria,020, -   , 1 , -   , -   , -   , 1 , -   , -   , 2 , 3 , 2 , 21 , 9 , 66.0 , 0.1 , -   , 46 , 343.6 , 0.1 , -   
,Murray Valley encephalitis virus infection,049, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 0.2 , 5.0 , -   , 1 , 0.2 , 5.0 , -   
,Ross River virus infection,002, -   , 19 , 2 , 54 , 4 , -   , 7 , 42 , 128 , 115 , 190 ," 2,588 "," 1,031 "," 1,931.0 ", 0.5 , -   ," 3,749 "," 4,742.8 ", 0.8 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.8 , -   , -   , -   , 1.6 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 11 , 7 , 3.6 , 1.9 , -   , 18 , 19.2 , 0.9 , -   
,Leptospirosis,017, -   , 2 , -   , 1 , -   , -   , -   , -   , 3 , 7 , 1 , 182 , 103 , 36.0 , 2.9 , 47.3 , 221 , 118.8 , 1.9 , 54.6 
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Ornithosis,023, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 12 , 5 , 7.0 , 0.7 , -   , 52 , 22.0 , 2.4 , 10.3 
,Q fever,027, -   , 4 , -   , 2 , -   , -   , 2 , -   , 8 , 22 , 9 , 287 , 143 , 124.0 , 1.2 , -   , 479 , 541.6 , 0.9 , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 0.4 , -   , -   
Other bacterial infections^,Legionellosis,015, -   , 5 , -   , -   , -   , -   , 8 , 1 , 14 , 13 , 22 , 297 , 121 , 111.4 , 1.1 , -   , 533 , 421.6 , 1.3 , -   
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 3 , 2.4 , 1.3 , -   , 9 , 11.4 , 0.8 , -   
,Meningococcal disease (invasive),022, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 5 , 4 , 41 , 23 , 46.0 , 0.5 , -   , 83 , 255.6 , 0.3 , -   
,Tuberculosis,034, 1 , 24 , -   , 5 , -   , 1 , 20 , 8 , 59 , 54 , 51 , 730 , 361 , 338.2 , 1.1 , -   ," 1,599 "," 1,431.6 ", 1.1 , -   
,,, 150 ," 2,283 ", 110 ," 2,111 ", 651 , 157 ," 1,296 ", 907 ," 7,668 "," 8,127 "," 9,366 "," 119,080 "," 55,451 ",,,," 246,774 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified
^ Other Bacterial Infections will be renamed to Other Notifiable Disease from FN14 and will also include data for RSV and iGAS which became nationally notifiable on 1 July 2021.",,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (07/07/2021). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
