ADT FN15/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,11/07/2022,27/06/2022,11/07/2021,01/01/2022,26/04/2022,,,,25/07/2021,25/07/2016,,
,,,,,,,,,,,24/07/2022,10/07/2022,24/07/2021,24/07/2022,24/07/2022,,,,24/07/2022,24/07/2021,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , -   , 2 , 2 , 3 , 26 , 13 , 34.8 , 0.4 , -   , 54 , 140.8 , 0.4 , -   
,Hepatitis B (unspecified),052, 4 , 84 , -   , 51 , 2 , 1 , 39 , 21 , 202 , 198 , 167 ," 2,990 "," 1,425 "," 1,334.8 ", 1.1 , -   ," 5,221 "," 5,495.4 ", 1.0 , -   
,Hepatitis C (newly acquired),040, 2 , 1 , 1 , 12 , -   , -   , -   , 3 , 19 , 19 , 36 , 287 , 137 , 167.6 , 0.8 , -   , 603 , 698.6 , 0.9 , -   
,Hepatitis C (unspecified),053, 5 , 73 , 4 , 63 , -   , 7 , 24 , 27 , 203 , 260 , 253 ," 3,315 "," 1,534 "," 2,093.8 ", 0.7 , -   ," 6,194 "," 8,872.0 ", 0.7 , -   
,Hepatitis D,050, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 6 , 36 , 15 , 18.6 , 0.8 , -   , 70 , 74.0 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 0.4 , 2.5 , -   , 5 , 1.4 , 3.6 , 0.9 
,Campylobacteriosis,005, 30 , 471 , 9 , 384 , 100 , 21 , 85 , 125 ," 1,225 "," 1,456 "," 1,386 "," 19,685 "," 8,774 "," 7,218.4 ", 1.2 , -   ," 36,901 "," 32,826.0 ", 1.1 , -   
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 3 , -   ,  , 3.0 , 5 , 1.0 , 5.0 , 2.0 
,Cryptosporidiosis,061, -   , 13 , -   , 22 , 4 , 1 , 18 , 4 , 62 , 60 , 82 ," 1,150 ", 521 , 620.0 , 0.8 , -   ," 1,855 "," 3,083.4 ", 0.6 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 3 , 1 , 3.2 , 0.3 , -   , 7 , 14.4 , 0.5 , -   
,Hepatitis A,038, -   , 1 , -   , 1 , -   , -   , 2 , -   , 4 , 4 , 1 , 64 , 36 , 38.6 , 0.9 , -   , 79 , 211.4 , 0.4 , -   
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 9 , 3 , 9.0 , 0.3 , -   , 10 , 41.2 , 0.2 , -   
,Listeriosis,018, -   , 3 , -   , -   , -   , -   , 1 , 1 , 5 , 3 , 4 , 51 , 21 , 10.4 , 2.0 , -   , 71 , 59.6 , 1.2 , -   
,Paratyphoid,080, -   , 2 , -   , -   , -   , -   , 2 , -   , 4 , 3 , 2 , 30 , 15 , 9.8 , 1.5 , -   , 31 , 67.6 , 0.5 , -   
,Salmonellosis,030, 6 , 74 , 12 , 60 , 12 , 5 , 68 , 26 , 263 , 271 , 231 ," 6,541 "," 2,239 "," 2,778.6 ", 0.8 , -   ," 10,394 "," 14,105.2 ", 0.7 , -   
,Shigellosis,031, -   , 15 , 5 , 6 , -   , -   , 9 , 5 , 40 , 67 , 13 , 556 , 308 , 402.6 , 0.8 , -   , 759 ," 1,990.4 ", 0.4 , -   
,"STEC""""",054, -   , 1 , -   , 1 , 6 , -   , 4 , 6 , 18 , 40 , 16 , 461 , 211 , 112.6 , 1.9 , 54.8 , 747 , 567.6 , 1.3 , 45.7 
,Typhoid Fever,035, -   , 2 , -   , 1 , -   , -   , 3 , -   , 6 , 7 , 1 , 90 , 45 , 19.8 , 2.3 , -   , 97 , 132.8 , 0.7 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081," 14,937 "," 178,493 ", 723 ," 24,488 "," 61,391 "," 4,039 "," 155,649 "," 80,432 ","520152"," 403,005 "," 1,787 "," 7,481,022 "," 2,916,374 "," 2,055.4 "," 1,418.9 "," 2,908,098.5 "," 7,887,027 "," 6,795.8 "," 1,160.6 "," 7,861,294.0 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, 53 , 982 , 26 , 912 , 202 , 56 , 614 , 401 ," 3,246 "," 3,469 "," 3,213 "," 49,793 "," 22,767 "," 24,278.6 ", 0.9 , -   ," 86,264 "," 99,556.4 ", 0.9 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 11 , 431 , 27 , 251 , 61 , 14 , 51 , 103 , 949 ," 1,022 ", 996 ," 16,858 "," 7,294 "," 7,485.8 ", 1.0 , -   ," 27,371 "," 30,324.6 ", 0.9 , -   
,Syphilis < 2 years,066, 1 , 45 , 10 , 27 , 11 , 3 , 76 , 26 , 199 , 238 , 231 ," 3,093 "," 1,461 "," 1,384.6 ", 1.1 , -   ," 5,566 "," 5,406.8 ", 1.0 , -   
,Syphilis > 2 years or unspecified duration,067, 1 , 1 , 1 , 1 , 1 , 1 , 43 , 1 , 50 , 84 , 79 ," 1,184 ", 485 , 475.4 , 1.0 , -   ," 1,926 "," 1,915.0 ", 1.0 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 2 , 1.8 , 1.1 , -   , 16 , 9.2 , 1.7 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 23 , 9 , 1.2 , 7.5 , 5.2 , 25 , 9.0 , 2.8 , 13.2 
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 6 , 5 , 5.8 , 0.9 , -   , 13 , 20.2 , 0.6 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 10.4 , 0.1 , -   , 1 , 106.2 , 0.0 , -   
,Meningococcal disease (invasive),022, -   , -   , -   , 4 , 2 , -   , -   , 1 , 7 , 4 , 1 , 56 , 36 , 47.4 , 0.8 , -   , 86 , 230.8 , 0.4 , -   
,Mumps,043, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , -   , 13 , 7 , 98.0 , 0.1 , -   , 23 , 408.0 , 0.1 , -   
,Pneumococcal disease (invasive),065, -   , 40 , 5 , 28 , 6 , 1 , 29 , 24 , 133 , 135 , 81 , 934 , 650 , 514.8 , 1.3 , -   ," 1,455 "," 1,821.0 ", 0.8 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 28 , 3 , 48 , 12 , 1 , 3 , 6 , 101 , 82 , 59 ," 1,212 ", 512 , 786.4 , 0.7 , -   ," 3,008 "," 4,067.4 ", 0.7 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1.6 , -   , -   , 3 , 9.0 , 0.3 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.8 , 1.3 , -   , 3 , 4.2 , 0.7 , -   
,Varicella zoster (chickenpox),073, 6 , NN , 1 , 2 , 9 , -   , 16 , 13 , 47 , 49 , 80 , 694 , 288 , 751.6 , 0.4 , -   ," 1,490 "," 3,626.6 ", 0.4 , -   
,Varicella zoster (shingles),074, 20 , NN , 7 , 14 , 69 , 21 , 28 , 70 , 229 , 271 , 359 ," 4,455 "," 1,739 "," 3,104.2 ", 0.6 , -   ," 8,857 "," 13,081.6 ", 0.7 , -   
,Varicella zoster (unspecified),075, 6 , NN , 2 , 352 , 42 , 12 , 6 , 86 , 506 , 429 , 787 ," 10,335 "," 4,195 "," 3,841.2 ", 1.1 , -   ," 20,177 "," 14,396.0 ", 1.4 ," 1,350.7 "
Respiratory diseases,Influenza (laboratory confirmed),062, 135 ," 4,310 ", 83 ," 2,135 "," 1,248 ", 291 , 475 ," 2,897 "," 11574 "," 27043 ", 26 ," 208,628 "," 205,278 "," 35,926.8 ", 5.7 ," 45,241.4 "," 208,956 "," 144,600.6 ", 1.4 , -   
,Legionellosis,015, -   , 9 , -   , 6 , -   , 1 , 2 , 4 , 22 , 32 , 11 , 383 , 196 , 107.2 , 1.8 , 58.1 , 626 , 454.0 , 1.4 , 21.8 
,Pertussis,024, -   , 3 , -   , 2 , 1 , -   , 9 , 1 , 16 , 14 , 14 , 253 , 101 ," 1,698.8 ", 0.1 , -   , 482 ," 10,113.8 ", 0.0 , -   
,RSV^,083, 241 , NN , 64 ," 3,164 ", 685 , 295 ," 3,302 ", 599 ," 8,350 "," 8,208 ", 84 ," 37,658 "," 35,210 ", 26.8 ," 1,313.8 "," 35,063.3 "," 38,990 ", 27.2 ," 1,433.5 "," 38,841.2 "
,Tuberculosis,034, -   , 24 , -   , 3 , -   , -   , 11 , 3 , 41 , 46 , 68 , 620 , 277 , 367.8 , 0.8 , -   ," 1,226 "," 1,513.0 ", 0.8 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , -   , 1 , 8 , 1 , -   , -   , -   , 10 , 11 , 17 , 182 , 68 , 142.0 , 0.5 , -   , 320 , 421.0 , 0.8 , -   
,Chikungunya virus infection,078, -   , -   , 1 , -   , -   , -   , -   , -   , 1 , 1 , -   , 11 , 4 , 8.0 , 0.5 , -   , 12 , 68.4 , 0.2 , -   
,Dengue virus infection,003, -   , 4 , 1 , 1 , 1 , 1 , 3 , 1 , 12 , 17 , -   , 98 , 75 , 182.4 , 0.4 , -   , 106 , 892.6 , 0.1 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2.4 , -   , -   , 1 , 19.6 , 0.1 , -   
,Japanese encephalitis virus infection**,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , - , -   , -   , -   , - 
,Malaria,020, 1 , 3 , -   , 3 , -   , -   , 1 , 1 , 9 , 11 , 3 , 84 , 50 , 55.0 , 0.9 , -   , 119 , 299.2 , 0.4 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 1 , 1 , 0.2 , 5.0 , -   , 1 , 0.4 , 2.5 , -   
,Ross River virus infection,002, -   , 8 , 6 , 18 , 1 , -   , -   , 1 , 34 , 30 , 61 ," 2,359 ", 369 ," 1,585.0 ", 0.2 , -   ," 2,897 "," 4,655.6 ", 0.6 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.8 , -   , -   , -   , 1.4 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 4.8 , 0.2 , -   , 10 , 19.6 , 0.5 , -   
,Leptospirosis,017, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 , 18 , 9 , 119 , 65 , 55.2 , 1.2 , -   , 174 , 160.0 , 1.1 , -   
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Monkeypox virus (MPXV) infection++,084, -   , 8 , -   , -   , -   , -   , 8 , -   , 16 , 18 , -   , 44 , 44 , -   ,  , 44.0 , 44 , -   ,  , 44.0 
,Ornithosis,023, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 9 , 6 , 7.6 , 0.8 , -   , 34 , 30.2 , 1.1 , -   
,Q fever,027, -   , 5 , -   , 6 , -   , -   , -   , 1 , 12 , 20 , 15 , 246 , 99 , 128.6 , 0.8 , -   , 433 , 525.2 , 0.8 , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , -   , 0.4 , -   , -   
Other notifiable diseases,iGAS,082, -   , NN , 3 , 17 , 5 , -   , 4 , 11 , 40 , 32 , 13 , 389 , 199 , 6.0 , 33.2 , 166.2 , 581 , 7.0 , 83.0 , 544.9 
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2.4 , -   , -   , 9 , 9.6 , 0.9 , -   
,,," 15,459 "," 185,138 ", 995 ," 32,095 "," 63,872 "," 4,771 "," 160,585 "," 84,902 "," 547,817 "," 446,687 "," 10,196 "," 7,856,079 "," 3,213,171 ",,,," 8,361,435 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified",,,,,,,,,,,,,,,,,,,,,,
"** Japanese encephalitis virus (JEV) cases are reported separately on the JEV outbreak webpage, accessible at: https://www.health.gov.au/health-alerts/japanese-encephalitis-virus-jev/about ",,,,,,,,,,,,,,,,,,,,,,
"++ On 1 June 2022, 'monkeypox virus infection' was listed for a period of 6 months on the National Notifiable Diseases List (NNDL) under the provisions of the National Health Security Act 2007. During the 6 month period a formal review will be undertaken to determine whether to list 'monkeypox virus infection' permanently on the NNDL.",,,,,,,,,,,,,,,,,,,,,,
"^ RSV and iGAS were listed as nationally notifiable diseases as of 1 July 2021. However, notification numbers presented here do not represent a national picture, as these conditions are not yet notifiable in all states and territories.",,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (01/08/2022). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,
""""" Please note that changes in laboratory testing protocols in some states are influencing case ascertainment.",,,,,,,,,,,,,,,,,,,,,,
